pollution_id,city,timestamp,pm25,pm10,no2,so2,co,o3,aqi_value,data_source,temperature,humidity,wind_speed,atmospheric_pressure,precipitation,cloudiness,created_at,date,time,hour,day_of_week
8,Chennai,2025-11-04 20:06:04.234221,33.29,41.73,18.52,4.38,511.27,52.76,3,OpenWeather,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:04.238143,2025-11-04,20:06:04.234221,20,Tuesday
8,Chennai,2025-11-04 20:06:04.234221,33.29,41.73,18.52,4.38,511.27,52.76,3,OpenWeather,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:04.238143,2025-11-04,20:06:04.234221,20,Tuesday
4,Chennai,2025-11-04 20:06:02.952712,,,,,,,83,IQAir,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:02.959414,2025-11-04,20:06:02.952712,20,Tuesday
4,Chennai,2025-11-04 20:06:02.952712,,,,,,,83,IQAir,26.33,88.0,2.24,,,75.0,2025-11-04 20:06:02.959414,2025-11-04,20:06:02.952712,20,Tuesday
77,Coimbatore,2025-11-06 07:31:18.200722,12.01,20.58,7.06,2.53,282.42,37.99,2,OpenWeather,23.88,83.0,2.06,,,75.0,2025-11-06 07:31:18.207776,2025-11-06,07:31:18.200722,7,Thursday
40,Coimbatore,2025-11-04 20:06:11.539806,3.48,6.61,4.37,1.8,210.81,52.05,1,OpenWeather,25.88,78.0,4.12,,,40.0,2025-11-04 20:06:11.540414,2025-11-04,20:06:11.539806,20,Tuesday
78,Delhi,2025-11-06 07:31:18.229092,52.74,75.33,6.64,6.0,442.92,83.93,4,OpenWeather,13.05,76.0,2.06,,,0.0,2025-11-06 07:31:18.236157,2025-11-06,07:31:18.229092,7,Thursday
15,Delhi,2025-11-04 20:06:05.946668,51.02,65.83,15.97,3.54,448.23,78.28,4,OpenWeather,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:05.950704,2025-11-04,20:06:05.946668,20,Tuesday
15,Delhi,2025-11-04 20:06:05.946668,51.02,65.83,15.97,3.54,448.23,78.28,4,OpenWeather,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:05.950704,2025-11-04,20:06:05.946668,20,Tuesday
7,Delhi,2025-11-04 20:06:04.213822,51.02,65.83,15.97,3.54,448.23,78.28,4,OpenWeather,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:04.228244,2025-11-04,20:06:04.213822,20,Tuesday
7,Delhi,2025-11-04 20:06:04.213822,51.02,65.83,15.97,3.54,448.23,78.28,4,OpenWeather,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:04.228244,2025-11-04,20:06:04.213822,20,Tuesday
1,Delhi,2025-11-04 20:06:02.951156,,,,,,,134,IQAir,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:02.952650,2025-11-04,20:06:02.951156,20,Tuesday
1,Delhi,2025-11-04 20:06:02.951156,,,,,,,134,IQAir,26.05,47.0,2.06,,,20.0,2025-11-04 20:06:02.952650,2025-11-04,20:06:02.951156,20,Tuesday
79,Dhanbad,2025-11-06 07:31:19.211438,88.13,121.79,6.75,2.81,457.12,18.43,5,OpenWeather,22.63,54.0,1.72,,,0.0,2025-11-06 07:31:19.212448,2025-11-06,07:31:19.211438,7,Thursday
80,Faridabad,2025-11-06 07:31:19.227657,54.7,75.68,6.13,6.09,453.91,87.29,4,OpenWeather,13.14,24.0,2.2,,,0.0,2025-11-06 07:31:19.229461,2025-11-06,07:31:19.227657,7,Thursday
81,Ghaziabad,2025-11-06 07:31:19.500355,54.43,73.14,6.15,7.11,460.75,89.18,4,OpenWeather,20.68,24.0,2.28,,,0.0,2025-11-06 07:31:19.508632,2025-11-06,07:31:19.500355,7,Thursday
52,Ghaziabad,2025-11-04 20:06:14.664370,54.76,74.98,24.37,4.16,538.43,55.79,4,OpenWeather,25.09,38.0,3.42,,,0.0,2025-11-04 20:06:14.674212,2025-11-04,20:06:14.664370,20,Tuesday
52,Ghaziabad,2025-11-04 20:06:14.664370,54.76,74.98,24.37,4.16,538.43,55.79,4,OpenWeather,25.09,38.0,3.42,,,0.0,2025-11-04 20:06:14.674212,2025-11-04,20:06:14.664370,20,Tuesday
33,Ghaziabad,2025-11-04 20:06:09.900064,54.76,74.98,24.37,4.16,538.43,55.79,4,OpenWeather,25.09,38.0,3.42,,,0.0,2025-11-04 20:06:09.901578,2025-11-04,20:06:09.900064,20,Tuesday
33,Ghaziabad,2025-11-04 20:06:09.900064,54.76,74.98,24.37,4.16,538.43,55.79,4,OpenWeather,25.09,38.0,3.42,,,0.0,2025-11-04 20:06:09.901578,2025-11-04,20:06:09.900064,20,Tuesday
83,Greater Noida,2025-11-06 07:31:20.640293,55.12,74.31,5.96,6.41,463.28,88.53,4,OpenWeather,20.75,27.0,2.23,,,0.0,2025-11-06 07:31:20.641905,2025-11-06,07:31:20.640293,7,Thursday
85,Gurgaon,2025-11-06 07:31:21.164014,54.28,77.05,6.3,5.78,444.6,86.06,4,OpenWeather,13.02,76.0,2.06,,,0.0,2025-11-06 07:31:21.168530,2025-11-06,07:31:21.164014,7,Thursday
82,Guwahati,2025-11-06 07:31:20.592609,20.51,23.51,5.46,0.74,409.41,13.06,2,OpenWeather,23.95,94.0,1.54,,,75.0,2025-11-06 07:31:20.603566,2025-11-06,07:31:20.592609,7,Thursday
50,Guwahati,2025-11-04 20:06:13.813416,27.56,35.77,8.0,0.88,397.3,18.27,3,OpenWeather,24.95,94.0,0.0,,,40.0,2025-11-04 20:06:13.824913,2025-11-04,20:06:13.813416,20,Tuesday
84,Gwalior,2025-11-06 07:31:20.760988,44.22,79.48,3.81,1.89,323.83,64.26,3,OpenWeather,18.43,50.0,3.08,,,0.0,2025-11-06 07:31:20.773181,2025-11-06,07:31:20.760988,7,Thursday
43,Gwalior,2025-11-04 20:06:11.960287,17.72,21.93,9.7,4.35,397.4,54.62,2,OpenWeather,22.06,54.0,0.67,,,25.0,2025-11-04 20:06:11.961777,2025-11-04,20:06:11.960287,20,Tuesday
88,Howrah,2025-11-06 07:31:22.482271,97.53,128.25,7.72,6.12,567.61,79.52,5,OpenWeather,24.0,83.0,1.54,,,20.0,2025-11-06 07:31:22.486903,2025-11-06,07:31:22.482271,7,Thursday
86,Hyderabad,2025-11-06 07:31:21.775532,20.08,26.41,7.06,1.88,391.44,16.77,2,OpenWeather,21.23,88.0,1.54,,,40.0,2025-11-06 07:31:21.776573,2025-11-06,07:31:21.775532,7,Thursday
19,Hyderabad,2025-11-04 20:06:06.747402,10.12,14.33,10.9,2.57,423.81,46.61,2,OpenWeather,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:06.747793,2025-11-04,20:06:06.747402,20,Tuesday
19,Hyderabad,2025-11-04 20:06:06.747402,10.12,14.33,10.9,2.57,423.81,46.61,2,OpenWeather,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:06.747793,2025-11-04,20:06:06.747402,20,Tuesday
11,Hyderabad,2025-11-04 20:06:05.212251,10.12,14.33,10.9,2.57,423.81,46.61,2,OpenWeather,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:05.216884,2025-11-04,20:06:05.212251,20,Tuesday
11,Hyderabad,2025-11-04 20:06:05.212251,10.12,14.33,10.9,2.57,423.81,46.61,2,OpenWeather,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:05.216884,2025-11-04,20:06:05.212251,20,Tuesday
9,Hyderabad,2025-11-04 20:06:04.246377,,,,,,,94,IQAir,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:04.246585,2025-11-04,20:06:04.246377,20,Tuesday
9,Hyderabad,2025-11-04 20:06:04.246377,,,,,,,94,IQAir,25.23,88.0,2.57,,,75.0,2025-11-04 20:06:04.246585,2025-11-04,20:06:04.246377,20,Tuesday
87,Indore,2025-11-06 07:31:22.346682,40.17,64.97,3.7,1.06,283.67,40.76,3,OpenWeather,14.1,88.0,0.0,,,5.0,2025-11-06 07:31:22.348533,2025-11-06,07:31:22.346682,7,Thursday
26,Indore,2025-11-04 20:06:08.663146,29.35,38.23,4.06,2.23,256.81,76.83,3,OpenWeather,22.1,78.0,1.54,,,40.0,2025-11-04 20:06:08.668488,2025-11-04,20:06:08.663146,20,Tuesday
