id,city,timestamp,date,time,hour,day_of_week,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
11,Hyderabad,2025-11-04 20:06:05.212251,2025-11-04,20:06:05.212251,20,Tuesday,2,10.12,14.33,10.9,2.57,423.81,46.61,OpenWeather,2025-11-04 20:06:05.216884
9,Hyderabad,2025-11-04 20:06:04.246377,2025-11-04,20:06:04.246377,20,Tuesday,94,,,,,,,IQAir,2025-11-04 20:06:04.246585
87,Indore,2025-11-06 07:31:22.346682,2025-11-06,07:31:22.346682,7,Thursday,3,40.17,64.97,3.7,1.06,283.67,40.76,OpenWeather,2025-11-06 07:31:22.348533
26,Indore,2025-11-04 20:06:08.663146,2025-11-04,20:06:08.663146,20,Tuesday,3,29.35,38.23,4.06,2.23,256.81,76.83,OpenWeather,2025-11-04 20:06:08.668488
89,Jabalpur,2025-11-06 07:31:22.618031,2025-11-06,07:31:22.618031,7,Thursday,3,42.82,65.47,1.83,2.64,254.31,79.15,OpenWeather,2025-11-06 07:31:22.618842
42,Jabalpur,2025-11-04 20:06:11.775371,2025-11-04,20:06:11.775371,20,Tuesday,2,23.38,29.87,3.78,2.28,347.99,38.39,OpenWeather,2025-11-04 20:06:11.777126
90,Jaipur,2025-11-06 07:31:23.605700,2025-11-06,07:31:23.605700,7,Thursday,4,67.63,110.57,6.92,2.08,424.88,71.49,OpenWeather,2025-11-06 07:31:23.606871
22,Jaipur,2025-11-04 20:06:07.713279,2025-11-04,20:06:07.713279,20,Tuesday,3,42.29,75.78,11.6,2.27,362.05,70.37,OpenWeather,2025-11-04 20:06:07.727787
93,Jalandhar,2025-11-06 07:31:24.486274,2025-11-06,07:31:24.486274,7,Thursday,3,42.64,60.6,13.79,3.49,641.16,47.92,OpenWeather,2025-11-06 07:31:24.486635
91,Jodhpur,2025-11-06 07:31:23.762540,2025-11-06,07:31:23.762540,7,Thursday,4,55.5,104.7,16.08,1.62,444.92,28.32,OpenWeather,2025-11-06 07:31:23.763647
46,Jodhpur,2025-11-04 20:06:12.737355,2025-11-04,20:06:12.737355,20,Tuesday,4,53.52,131.86,6.31,1.22,186.44,79.61,OpenWeather,2025-11-04 20:06:12.739459
92,Kanpur,2025-11-06 07:31:24.464070,2025-11-06,07:31:24.464070,7,Thursday,4,57.16,86.68,6.11,1.19,463.33,33.22,OpenWeather,2025-11-06 07:31:24.469255
25,Kanpur,2025-11-04 20:06:07.955558,2025-11-04,20:06:07.955558,20,Tuesday,3,46.37,68.05,11.39,5.45,395.54,73.93,OpenWeather,2025-11-04 20:06:07.956492
94,Kolkata,2025-11-06 07:31:24.782756,2025-11-06,07:31:24.782756,7,Thursday,5,97.53,128.25,7.72,6.12,567.61,79.52,OpenWeather,2025-11-06 07:31:24.784164
18,Kolkata,2025-11-04 20:06:06.713898,2025-11-04,20:06:06.713898,20,Tuesday,5,122.64,150.58,5.4,17.42,577.38,162.46,OpenWeather,2025-11-04 20:06:06.716035
10,Kolkata,2025-11-04 20:06:05.212251,2025-11-04,20:06:05.212251,20,Tuesday,5,122.64,150.58,5.4,17.42,577.38,162.46,OpenWeather,2025-11-04 20:06:05.213114
95,Kota,2025-11-06 07:31:24.818226,2025-11-06,07:31:24.818226,7,Thursday,3,34.53,66.17,5.55,2.44,313.52,56.55,OpenWeather,2025-11-06 07:31:24.826265
48,Kota,2025-11-04 20:06:13.696611,2025-11-04,20:06:13.696611,20,Tuesday,3,34.24,55.16,2.48,1.96,246.81,93.63,OpenWeather,2025-11-04 20:06:13.705077
96,Lucknow,2025-11-06 07:31:25.761354,2025-11-06,07:31:25.761354,7,Thursday,4,74.17,101.58,7.53,1.47,563.71,32.71,OpenWeather,2025-11-06 07:31:25.776260
23,Lucknow,2025-11-04 20:06:07.784425,2025-11-04,20:06:07.784425,20,Tuesday,4,70.25,115.76,17.13,10.43,548.14,103.16,OpenWeather,2025-11-04 20:06:07.784773
97,Ludhiana,2025-11-06 07:31:25.828966,2025-11-06,07:31:25.828966,7,Thursday,3,43.5,59.21,12.03,3.65,574.69,50.85,OpenWeather,2025-11-06 07:31:25.841625
32,Ludhiana,2025-11-04 20:06:09.889446,2025-11-04,20:06:09.889446,20,Tuesday,4,51.21,86.61,10.68,2.85,393.49,90.82,OpenWeather,2025-11-04 20:06:09.891812
98,Madurai,2025-11-06 07:31:25.977160,2025-11-06,07:31:25.977160,7,Thursday,1,8.15,13.02,4.95,2.26,265.04,40.94,OpenWeather,2025-11-06 07:31:25.978469
45,Madurai,2025-11-04 20:06:12.697495,2025-11-04,20:06:12.697495,20,Tuesday,1,5.16,9.54,6.86,2.69,227.3,57.31,OpenWeather,2025-11-04 20:06:12.705484
100,Mathura,2025-11-06 07:31:26.966955,2025-11-06,07:31:26.966955,7,Thursday,4,62.03,86.77,5.81,2.79,471.29,75.76,OpenWeather,2025-11-06 07:31:26.967718
101,Meerut,2025-11-06 07:31:27.643529,2025-11-06,07:31:27.643529,7,Thursday,4,53.36,71.01,9.11,7.57,502.43,81.02,OpenWeather,2025-11-06 07:31:27.650203
102,Moradabad,2025-11-06 07:31:27.695761,2025-11-06,07:31:27.695761,7,Thursday,4,58.8,76.35,18.69,16.1,627.88,61.79,OpenWeather,2025-11-06 07:31:27.700288
99,Mumbai,2025-11-06 07:31:26.815522,2025-11-06,07:31:26.815522,7,Thursday,3,37.71,76.64,0.8,3.51,143.01,96.92,OpenWeather,2025-11-06 07:31:26.819022
14,Mumbai,2025-11-04 20:06:05.944216,2025-11-04,20:06:05.944216,20,Tuesday,3,26.97,41.21,0.14,0.3,168.82,86.37,OpenWeather,2025-11-04 20:06:05.946337
5,Mumbai,2025-11-04 20:06:03.964285,2025-11-04,20:06:03.964285,20,Tuesday,3,26.97,41.21,0.14,0.3,168.82,86.37,OpenWeather,2025-11-04 20:06:03.976273
3,Mumbai,2025-11-04 20:06:02.951675,2025-11-04,20:06:02.951675,20,Tuesday,79,,,,,,,IQAir,2025-11-04 20:06:02.958618
103,Mysore,2025-11-06 07:31:27.945737,2025-11-06,07:31:27.945737,7,Thursday,2,19.91,29.61,7.03,3.86,361.38,35.9,OpenWeather,2025-11-06 07:31:27.947493
51,Mysore,2025-11-04 20:06:13.850171,2025-11-04,20:06:13.850171,20,Tuesday,2,15.43,23.83,17.08,5.78,436.75,44.07,OpenWeather,2025-11-04 20:06:13.850974
104,Nagpur,2025-11-06 07:31:28.076816,2025-11-06,07:31:28.076816,7,Thursday,3,29.26,39.31,4.79,2.43,298.06,27.79,OpenWeather,2025-11-06 07:31:28.081671
24,Nagpur,2025-11-04 20:06:07.951338,2025-11-04,20:06:07.951338,20,Tuesday,2,22.13,28.17,8.86,2.98,361.38,40.25,OpenWeather,2025-11-04 20:06:07.952870
105,Nashik,2025-11-06 07:31:28.727742,2025-11-06,07:31:28.727742,7,Thursday,5,91.94,138.74,17.33,12.15,669.04,27.56,OpenWeather,2025-11-06 07:31:28.739387
35,Nashik,2025-11-04 20:06:10.337133,2025-11-04,20:06:10.337133,20,Tuesday,3,40.5,59.22,16.32,10.5,425.99,60.83,OpenWeather,2025-11-04 20:06:10.337610
107,Navi Mumbai,2025-11-06 07:31:29.444457,2025-11-06,07:31:29.444457,7,Thursday,3,44.01,87.19,1.47,6.37,169.28,91.72,OpenWeather,2025-11-06 07:31:29.447923
106,Noida,2025-11-06 07:31:29.029340,2025-11-06,07:31:29.029340,7,Thursday,4,54.28,77.05,6.3,5.78,444.6,86.06,OpenWeather,2025-11-06 07:31:29.034334
55,Noida,2025-11-04 20:06:14.881261,2025-11-04,20:06:14.881261,20,Tuesday,4,51.38,66.17,16.3,3.33,463.17,73.52,OpenWeather,2025-11-04 20:06:14.896260
109,Panipat,2025-11-06 07:31:30.027970,2025-11-06,07:31:30.027970,7,Thursday,3,49.07,72.03,8.22,6.18,436.26,79.35,OpenWeather,2025-11-06 07:31:30.033370
108,Patna,2025-11-06 07:31:29.869566,2025-11-06,07:31:29.869566,7,Thursday,5,91.3,121.74,4.48,2.72,490.67,30.78,OpenWeather,2025-11-06 07:31:29.871761
30,Patna,2025-11-04 20:06:09.486934,2025-11-04,20:06:09.486934,20,Tuesday,5,91.8,144.32,9.38,6.65,516.67,63.38,OpenWeather,2025-11-04 20:06:09.489085
112,Pimpri-Chinchwad,2025-11-06 07:31:31.110489,2025-11-06,07:31:31.110489,7,Thursday,4,60.11,96.44,3.77,1.52,252.24,35.65,OpenWeather,2025-11-06 07:31:31.111809
110,Pune,2025-11-06 07:31:30.453585,2025-11-06,07:31:30.453585,7,Thursday,4,53.79,87.09,3.29,1.26,228.22,45.38,OpenWeather,2025-11-06 07:31:30.456922
20,Pune,2025-11-04 20:06:06.959130,2025-11-04,20:06:06.959130,20,Tuesday,2,17.36,19.43,1.16,0.79,211.82,81.95,OpenWeather,2025-11-04 20:06:06.960925
12,Pune,2025-11-04 20:06:05.423636,2025-11-04,20:06:05.423636,20,Tuesday,2,17.36,19.43,1.16,0.79,211.82,81.95,OpenWeather,2025-11-04 20:06:05.428128
111,Raipur,2025-11-06 07:31:31.011273,2025-11-06,07:31:31.011273,7,Thursday,2,17.52,22.7,5.39,2.59,286.36,13.35,OpenWeather,2025-11-06 07:31:31.024286
47,Raipur,2025-11-04 20:06:12.781732,2025-11-04,20:06:12.781732,20,Tuesday,4,58.68,65.94,10.41,3.34,393.15,30.11,OpenWeather,2025-11-04 20:06:12.782801
113,Rajkot,2025-11-06 07:31:31.258695,2025-11-06,07:31:31.258695,7,Thursday,4,52.32,92.75,4.94,0.91,282.52,35.6,OpenWeather,2025-11-06 07:31:31.259208
36,Rajkot,2025-11-04 20:06:10.713524,2025-11-04,20:06:10.713524,20,Tuesday,4,46.62,103.86,4.42,0.98,183.29,84.07,OpenWeather,2025-11-04 20:06:10.717105
114,Ranchi,2025-11-06 07:31:31.434497,2025-11-06,07:31:31.434497,7,Thursday,5,85.01,111.71,9.49,7.67,446.08,19.81,OpenWeather,2025-11-06 07:31:31.436153
41,Ranchi,2025-11-04 20:06:11.548333,2025-11-04,20:06:11.548333,20,Tuesday,3,46.97,62.78,11.92,4.08,435.4,56.32,OpenWeather,2025-11-04 20:06:11.549033
116,Rewari,2025-11-06 07:31:32.971708,2025-11-06,07:31:32.971708,7,Thursday,4,57.27,83.44,6.77,5.84,449.48,89.89,OpenWeather,2025-11-06 07:31:32.975101
117,Rohtak,2025-11-06 07:31:33.001024,2025-11-06,07:31:33.001024,7,Thursday,3,48.37,76.18,8.43,4.81,426.6,76.75,OpenWeather,2025-11-06 07:31:33.001354
115,Salem,2025-11-06 07:31:32.349866,2025-11-06,07:31:32.349866,7,Thursday,2,12.5,18.04,8.1,2.86,322.73,35.82,OpenWeather,2025-11-06 07:31:32.350658
54,Salem,2025-11-04 20:06:14.865307,2025-11-04,20:06:14.865307,20,Tuesday,1,6.87,11.06,11.18,3.38,316.3,49.37,OpenWeather,2025-11-04 20:06:14.876930
118,Solapur,2025-11-06 07:31:33.285855,2025-11-06,07:31:33.285855,7,Thursday,2,24.23,35.11,9.0,1.51,338.68,21.39,OpenWeather,2025-11-06 07:31:33.287971
120,Sonipat,2025-11-06 07:31:34.295737,2025-11-06,07:31:34.295737,7,Thursday,4,51.84,73.97,7.54,6.12,449.52,81.93,OpenWeather,2025-11-06 07:31:34.296112
122,Srinagar,2025-11-06 07:31:34.585211,2025-11-06,07:31:34.585211,7,Thursday,3,36.26,49.4,11.83,1.29,525.42,58.4,OpenWeather,2025-11-06 07:31:34.585926
